Block_ns,Block_frames,Avg_omega,Std_omega,Boot_omega_mean,Boot_omega_std,Avg_overlap,Std_overlap,Boot_overlap_mean,Boot_overlap_std,Norm_omega,Norm_overlap
390.0,3900,0.660953407789698,0.002214071868771872,0.902629624604698,0.003056666785796332,[0.86497833 0.86901768],[0.07198193 0.0710466 ],[0.99928537 0.98282515],[0.00020876 0.00305562],0.7322531742509107,"[0.8655969117476539, 0.884203741623586]"
400.0,4000,0.6687661021995945,0.0011420311144911821,0.903089858586498,0.002657621475465184,[0.88329001 0.89914871],[0.05805884 0.04040323],[0.99928506 0.98310227],[0.00021452 0.00287542],0.7405310732271279,"[0.8839219549027655, 0.914603433267382]"
410.0,4100,0.6751537454687293,0.005620401232917571,0.9032842428323947,0.002814413538606739,[0.88298446 0.90225378],[0.06136744 0.03653077],[0.99932084 0.98265185],[0.00018319 0.00293103],0.7474432891153674,"[0.883584548808885, 0.9181825556692008]"
420.0,4200,0.6850654558637517,0.004392035010184425,0.9034641875991292,0.0025176929284704834,[0.894532  0.9079855],[0.05341317 0.02617942],[0.99928727 0.98259352],[0.00022278 0.00287051],0.758265203277452,"[0.8951700152163702, 0.9240703083701618]"
430.0,4300,0.6861634042278043,0.006917918553238311,0.9037570905941932,0.002610325146790868,[0.89872086 0.91853427],[0.04880281 0.02655282],[0.99931515 0.98301297],[0.00017329 0.00273286],0.7592343245425299,"[0.8993367670469989, 0.9344070697827712]"
440.0,4400,0.6898115337493952,0.011308016599582471,0.9035156509301119,0.0027524549693330952,[0.90157938 0.92412684],[0.04766402 0.022751  ],[0.99927658 0.98233531],[0.00019361 0.00288123],0.7634749138426967,"[0.902232074161707, 0.9407448041946094]"
450.0,4500,0.6944855386925504,0.017399846647041695,0.9038705223036082,0.002576192952381617,[0.90024259 0.92351419],[0.052067   0.02530307],[0.99926956 0.98267929],[0.00022446 0.00268064],0.7683462637132823,"[0.9009006463038212, 0.9397920613328219]"
460.0,4600,0.6952016955979499,0.02327568525727458,0.9041507783016831,0.00266051588510909,[0.90288654 0.92763585],[0.05145907 0.02468331],[0.99933502 0.98293787],[0.00019294 0.00292189],0.768900179352592,"[0.9034873389817873, 0.9437380263594636]"
470.0,4700,0.7007093338323975,0.0305193355641194,0.9040694622668412,0.002412446717123287,[0.91072844 0.93224049],[0.04691946 0.02165667],[0.99933941 0.98214633],[0.00015123 0.00289941],0.7750613897249183,"[0.9113304564038417, 0.9491869527905528]"
480.0,4800,0.7028827657486346,0.03564307072653805,0.9049742985891193,0.0023591562173505606,[0.91109118 0.92618176],[0.04914382 0.02863281],[0.99933192 0.98315429],[0.00021794 0.00267699],0.7766880969376134,"[0.9117002677855037, 0.9420512875321633]"
490.0,4900,0.707285840757731,0.03775250936218966,0.9043079575289245,0.0024658968992034565,[0.91878595 0.93144594],[0.04286656 0.01951502],[0.99931419 0.9825961 ],[0.000159   0.00274522],0.7821294005754764,"[0.9194164977745205, 0.9479438654442396]"
500.0,5000,0.7122643142050046,0.03588293434856993,0.9050322729854149,0.0024293239892465676,[0.91454846 0.92024189],[0.04759057 0.0249117 ],[0.99936184 0.98267074],[0.00017599 0.00310224],0.7870043262164234,"[0.91513246636367, 0.936470227264795]"
