phi14,psi14,phi13,psi13
34.29731808360272,-19.477522671024037,-35.027700782541416,-12.899519517937486
31.37991274485679,-24.158939512644363,-20.113626672505657,3.424608411252144
35.07207427066615,-17.078425876714963,-36.8364415558294,-32.091326446280476
45.33410762045681,-12.572400385672003,-46.2057679047451,-33.97978217431551
25.96466356089304,-18.69778819745459,-34.97162043145453,21.69109311849604
45.3341025261482,-5.966770302053946,-46.99977182733451,-52.877581383462086
47.646162594763446,-24.216241945537433,-25.525762761943447,-26.177995657307218
43.368391991335656,0.1693813597110666,-40.24366756846688,-18.368080784533834
47.95372753786109,-22.638231479770077,-55.320585784135055,-36.322168291566676
52.12784850461498,-16.343701771971407,-53.26808372244325,-40.33918024122849
41.31105378384237,-16.69586407959426,-49.606356591337054,-21.377740836793425
40.109383476170876,-2.607407149847468,-45.040646988534355,-35.0890848899836
48.242486538665744,-16.555054904797775,-18.783327039191953,-49.21202723539092
56.441567156776394,-16.13627486553045,-36.48965078790078,-46.544111274701585
51.426089243129226,-13.231771521316169,-36.5454558358378,-27.26770319161079
46.63062424388274,-8.422960533265293,-60.291879170324975,-16.512330333732038
60.55197717570945,-10.744387816877442,-41.98555892437266,-1.118409819631012
44.38146036981036,-9.070637977743322,-26.58737161596871,-26.092488281603128
